date,rating,userName,title,review
2025-09-20 08:10:15-07:00,1,jzy612,Bad service,At first it was all good and when i try to subscribe again i pick the cheapest one it didn’t give me anything i cant do nothing until i go pro it forced me to pay more! Not worth it I’m deleting this app! It’s a trickster made me pay for nothing!
2025-09-19 18:36:43-07:00,5,Crea tus videos,La mejor,Me encanta recomendada para editar tus fotos
2025-09-18 17:40:54-07:00,3,𝕓𝕣𝕒𝕟𝕕𝕚,Very glitchy,Slow and glitchy. Frustrated to use
2025-09-08 08:04:35-07:00,1,Mattysclerosis,Scam,Said of you paid for the pro version you get 12 free image to video per day and any addition cost 6 credits.  I paid the $80 and received none of those things. I got 40 credits and the image to video charged 30. So basically I laid $80 for one pic
2025-09-08 07:04:12-07:00,1,BREasy518,Took payment before trial was over,I downloaded and looked at the app said a 7dat trial. Did not use. 79.99 was immediately removed from my account and I have yet to receive a refund.
2025-09-07 04:30:12-07:00,1,Uffdaboy,Was great when it worked,"This was a fantastic app, so much so AI purchased the VIP plan for a year and know most of the features have suddenly stopped working"
2025-09-06 14:52:35-07:00,1,NashandTobey26,Awful!!!!!,They are thieves! The app is slow and doesn’t work. They trick you into buying things. Do NOT recommend
2025-09-04 18:09:24-07:00,1,eglantinelucy,SCAM ALERT!,Canceled the same day I signed up for free trial and was still charged! Apple denied my refund!
2025-09-04 16:10:00-07:00,1,asdffgghhjjkkjfzc,Bad quality overall,This AI app is not good quality and really makes you look like a clown. Don’t waste your time just choose another app to use.
2025-09-03 06:45:58-07:00,1,25Unhappy,Dishonest,I signed up for a 7 day free trial of the app to see if it would do what I needed.  I have been charged $80 for an app that does not do what I needed and that was supposed to be a free trial.  I have given 1 star because there is not an option for 0 stars.
2025-09-02 18:38:29-07:00,2,Asdfjklsdfbvcsew,Latest update,Kind of upset that I have the upgraded version of this app that I paid for and now on the latest update no longer lets you use it for “whitening teeth” sends you to the makeup app and you have to pay again to get a second upgrade in order to use teeth whitening function .
2025-08-31 22:21:19-07:00,1,Ebsnyy,Scam,They make it so hard to find the “delete my account” section the “FAQ” is false information and I don’t trust this app AT ALL . I think they are a scam
2025-08-31 09:48:01-07:00,1,Dragon223,No way to cancel 24 hour trial,20 hours ago I signed up for a 24 hour trial of YouCam Perfect Pro. I found the AI object remover was not able to handle the task I needed done. Now I find I can find no way to cancel and get my $79.99 back. It’s clearly a powerful tool but not one I need to
2025-08-29 13:50:49-07:00,1,KristinaHikes,Fraudulent Charges,Canceled subscription and they refuse to refund me. 0 support from app.
2025-08-22 12:32:45-07:00,1,Toplum Polisi,Free trial is a scam do not install the app,FREE TRIAL IS A SCAM DO NOT INSTALL THE APP UNLESS YOU HAVE A LOT MONEY TO TRASH
